numeric__RAM_GB,numeric__Storage_GB,numeric__Battery_mAh,numeric__Charging_W,numeric__Screen_Size_Inches,numeric__Resolution_Width,numeric__Resolution_Height,numeric__Refresh_Rate_Hz,numeric__Rear_Camera_MP,numeric__Front_Camera_MP,numeric__Processor_Speed_GHz,numeric__Cores,numeric__Has_3G,numeric__Has_4G,numeric__Has_5G,numeric__Has_VoLTE,numeric__Has_WiFi,numeric__Has_NFC,numeric__External_Memory_Supported,numeric__Android_Version,numeric__FM_Radio,numeric__Resolution_Megapixels,numeric__Total_Camera_MP,numeric__Battery_per_Screen_Inch,numeric__Storage_per_RAM_GB,numeric__Resolution_Aspect_Ratio,Price_Category_Encoded
8.0,256.0,7100.0,80.0,6.7,1080.0,2412.0,120.0,50.0,16.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,2.60496,66.0,1059.7014925373135,32.0,0.44776119402985076,1
12.0,512.0,7550.0,90.0,6.83,1280.0,2772.0,120.0,50.0,20.0,3.2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,3.54816,70.0,1105.4172767203513,42.666666666666664,0.46176046176046176,2
8.0,256.0,5500.0,68.0,6.7,1220.0,2712.0,120.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,3.30864,82.0,820.8955223880597,32.0,0.4498525073746313,1
4.0,128.0,6000.0,15.0,6.74,720.0,1600.0,90.0,50.0,5.0,2.4,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,1.152,55.0,890.2077151335311,32.0,0.45,0
8.0,128.0,7000.0,120.0,6.78,1260.0,2800.0,144.0,50.0,32.0,3.2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.528,82.0,1032.448377581121,16.0,0.45,2
8.0,256.0,10000.0,320.0,6.8,1264.0,2780.0,144.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,3.51392,82.0,1470.5882352941178,32.0,0.4546762589928058,2
8.0,128.0,5000.0,33.0,6.67,1080.0,2400.0,120.0,50.0,32.0,2.3,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,2.592,82.0,749.6251874062968,16.0,0.45,1
8.0,128.0,7000.0,80.0,6.67,1080.0,2400.0,120.0,50.0,16.0,2.3,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,2.592,66.0,1049.4752623688155,16.0,0.45,1
6.0,128.0,5000.0,18.0,6.75,720.0,1600.0,120.0,50.0,8.0,2.6,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,1.152,58.0,740.7407407407408,21.333333333333332,0.45,0
12.0,256.0,5000.0,120.0,6.67,1220.0,2712.0,120.0,200.0,16.0,2.8,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,13.0,0.0,3.30864,216.0,749.6251874062968,21.333333333333332,0.4498525073746313,1
8.0,256.0,5200.0,45.0,6.78,1080.0,2436.0,144.0,50.0,50.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,2.63088,100.0,766.9616519174041,32.0,0.4433497536945813,1
8.0,256.0,5500.0,45.0,6.67,1080.0,2400.0,120.0,50.0,12.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,16.0,0.0,2.592,62.0,824.5877061469265,32.0,0.45,2
8.0,256.0,4800.0,44.0,6.67,1080.0,2400.0,120.0,64.0,16.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,13.0,0.0,2.592,80.0,719.6401799100449,32.0,0.45,0
12.0,256.0,6500.0,90.0,6.67,1260.0,2800.0,120.0,50.0,50.0,2.8,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.528,100.0,974.512743628186,21.333333333333332,0.45,2
8.0,128.0,7000.0,100.0,6.57,1264.0,2780.0,144.0,50.0,50.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.51392,100.0,1065.4490106544902,16.0,0.4546762589928058,2
6.0,128.0,6000.0,45.0,6.4,720.0,1600.0,90.0,48.0,13.0,2.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.152,61.0,937.5,21.333333333333332,0.45,0
12.0,256.0,6000.0,80.0,6.59,1256.0,2760.0,120.0,50.0,50.0,3.35,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.46656,100.0,910.4704097116844,21.333333333333332,0.45507246376811594,2
8.0,128.0,5000.0,68.0,6.67,1080.0,2400.0,144.0,50.0,32.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,0.0,2.592,82.0,749.6251874062968,16.0,0.45,1
6.0,128.0,6000.0,45.0,6.67,1080.0,2400.0,120.0,50.0,16.0,2.3,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,2.592,66.0,899.5502248875563,21.333333333333332,0.45,1
8.0,128.0,7300.0,90.0,6.77,1080.0,2392.0,120.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,2.58336,82.0,1078.2865583456426,16.0,0.451505016722408,1
4.0,64.0,5000.0,15.0,6.67,720.0,1600.0,120.0,13.0,8.0,1.8,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,15.0,0.0,1.152,21.0,749.6251874062968,16.0,0.45,0
8.0,128.0,6000.0,90.0,6.77,1080.0,2392.0,120.0,50.0,50.0,2.63,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,2.58336,100.0,886.2629246676514,16.0,0.451505016722408,2
8.0,128.0,6000.0,80.0,6.83,1272.0,2800.0,120.0,50.0,16.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,3.5616,66.0,878.4773060029282,16.0,0.4542857142857143,1
12.0,256.0,5000.0,45.0,6.8,1440.0,3120.0,120.0,200.0,12.0,3.3,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,0.0,4.4928,212.0,735.2941176470589,21.333333333333332,0.46153846153846156,2
8.0,256.0,6500.0,100.0,6.82,1260.0,2800.0,144.0,50.0,50.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,3.528,100.0,953.0791788856304,32.0,0.45,2
6.0,128.0,6000.0,25.0,6.6,1080.0,2340.0,120.0,50.0,13.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,0.0,2.5272,63.0,909.0909090909091,21.333333333333332,0.46153846153846156,0
6.0,128.0,6500.0,44.0,6.72,1080.0,2408.0,120.0,50.0,8.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,2.60064,58.0,967.2619047619048,21.333333333333332,0.4485049833887043,0
6.0,128.0,6000.0,45.0,6.67,720.0,1604.0,120.0,50.0,8.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,0.0,1.15488,58.0,899.5502248875563,21.333333333333332,0.4488778054862843,0
12.0,256.0,5000.0,45.0,6.9,1800.0,3440.0,144.0,50.0,50.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,6.192,100.0,724.6376811594203,21.333333333333332,0.5232558139534884,2
4.0,128.0,6000.0,15.0,6.67,720.0,1604.0,120.0,32.0,8.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,1.15488,40.0,899.5502248875563,32.0,0.4488778054862843,0
8.0,256.0,5500.0,45.0,6.78,1224.0,2720.0,144.0,108.0,13.0,3.35,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,3.32928,121.0,811.2094395280236,32.0,0.45,1
8.0,128.0,6000.0,45.0,6.67,720.0,1604.0,120.0,50.0,8.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,0.0,1.15488,58.0,899.5502248875563,16.0,0.4488778054862843,0
6.0,128.0,5160.0,18.0,6.88,720.0,1640.0,120.0,50.0,8.0,2.2,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,0.0,1.1808,58.0,750.0,21.333333333333332,0.43902439024390244,0
8.0,128.0,5000.0,25.0,6.6,1080.0,2340.0,120.0,50.0,13.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,0.0,2.5272,63.0,757.5757575757576,16.0,0.46153846153846156,1
8.0,128.0,5500.0,80.0,6.67,1080.0,2400.0,120.0,50.0,16.0,2.2,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,2.592,66.0,824.5877061469265,16.0,0.45,1
8.0,128.0,6000.0,80.0,6.83,1272.0,2800.0,120.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,3.5616,82.0,878.4773060029282,16.0,0.4542857142857143,1
8.0,128.0,5500.0,45.0,6.78,1080.0,2436.0,144.0,64.0,13.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,2.63088,77.0,811.2094395280236,16.0,0.4433497536945813,1
8.0,128.0,5500.0,80.0,6.78,1260.0,2800.0,120.0,50.0,50.0,3.35,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,1.0,3.528,100.0,811.2094395280236,16.0,0.45,1
8.0,128.0,5000.0,20.0,6.5,720.0,1600.0,120.0,50.0,16.0,2.3,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,1.152,66.0,769.2307692307693,16.0,0.45,0
8.0,256.0,6550.0,90.0,6.67,1220.0,2712.0,120.0,50.0,20.0,3.25,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.30864,70.0,982.0089955022489,32.0,0.4498525073746313,1
8.0,128.0,5000.0,50.0,6.77,1080.0,2392.0,120.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,2.58336,82.0,738.5524372230428,16.0,0.451505016722408,1
12.0,256.0,5000.0,45.0,6.9,1440.0,3120.0,120.0,200.0,12.0,4.32,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,4.4928,212.0,724.6376811594203,21.333333333333332,0.46153846153846156,2
8.0,128.0,7500.0,100.0,6.67,1080.0,2400.0,120.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,0.0,2.592,82.0,1124.4377811094453,16.0,0.45,1
8.0,128.0,6000.0,15.0,6.74,720.0,1600.0,90.0,50.0,5.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,0.0,1.152,55.0,890.2077151335311,16.0,0.45,0
6.0,128.0,4500.0,25.0,6.71,1440.0,3200.0,120.0,64.0,10.0,2.96,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,0.0,4.608,74.0,670.6408345752608,21.333333333333332,0.45,2
8.0,128.0,5000.0,25.0,6.6,1080.0,2340.0,120.0,50.0,32.0,2.7,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,0.0,2.5272,82.0,757.5757575757576,16.0,0.46153846153846156,1
6.0,128.0,5110.0,45.0,6.67,1080.0,2400.0,120.0,50.0,20.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,0.0,2.592,70.0,766.1169415292354,21.333333333333332,0.45,1
12.0,256.0,6260.0,80.0,6.32,1216.0,2640.0,120.0,50.0,16.0,4.32,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,3.21024,66.0,990.506329113924,21.333333333333332,0.46060606060606063,2
8.0,256.0,4000.0,25.0,6.2,1080.0,2340.0,120.0,50.0,12.0,3.2,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,1.0,2.5272,62.0,645.1612903225806,32.0,0.46153846153846156,2
8.0,128.0,6400.0,80.0,6.78,1260.0,2800.0,144.0,50.0,32.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,3.528,82.0,943.952802359882,16.0,0.45,1
8.0,256.0,5000.0,80.0,6.7,1080.0,2412.0,120.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,2.60496,82.0,746.2686567164179,32.0,0.44776119402985076,1
6.0,128.0,6000.0,45.0,6.72,1080.0,2400.0,120.0,50.0,8.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,2.592,58.0,892.8571428571429,21.333333333333332,0.45,0
6.0,128.0,5000.0,45.0,6.67,1080.0,2400.0,120.0,50.0,16.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,2.592,66.0,749.6251874062968,21.333333333333332,0.45,0
8.0,128.0,7000.0,80.0,6.67,1080.0,2400.0,120.0,50.0,16.0,2.3,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,2.592,66.0,1049.4752623688155,16.0,0.45,0
8.0,256.0,6000.0,15.0,6.74,720.0,1600.0,90.0,50.0,5.0,2.4,7.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,1.152,55.0,890.2077151335311,32.0,0.45,0
16.0,512.0,5700.0,100.0,6.8,1276.0,2848.0,120.0,50.0,13.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,5.1,1.0,3.634048,63.0,838.2352941176471,32.0,0.44803370786516855,2
8.0,128.0,3561.0,45.0,6.1,1179.0,2556.0,120.0,48.0,12.0,4.04,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,18.0,0.0,3.013524,60.0,583.7704918032787,16.0,0.4612676056338028,2
8.0,256.0,5000.0,65.0,6.78,1080.0,2436.0,144.0,50.0,50.0,2.8,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,2.63088,100.0,737.4631268436578,32.0,0.4433497536945813,1
12.0,256.0,6000.0,80.0,6.78,1264.0,2780.0,120.0,50.0,16.0,3.3,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,3.51392,66.0,884.9557522123894,21.333333333333332,0.4546762589928058,2
8.0,128.0,5500.0,100.0,6.7,1080.0,2412.0,120.0,50.0,16.0,2.63,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,2.60496,66.0,820.8955223880597,16.0,0.44776119402985076,1
8.0,256.0,5000.0,68.0,6.7,1220.0,2712.0,120.0,50.0,32.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.0,3.30864,82.0,746.2686567164179,32.0,0.4498525073746313,1
8.0,256.0,6500.0,44.0,6.72,1080.0,2408.0,120.0,50.0,8.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,2.60064,58.0,967.2619047619048,32.0,0.4485049833887043,1
8.0,128.0,5600.0,80.0,6.59,1256.0,2760.0,120.0,50.0,50.0,3.35,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.46656,100.0,849.7723823975721,16.0,0.45507246376811594,2
12.0,256.0,5700.0,120.0,6.7,1080.0,2412.0,144.0,50.0,50.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,2.60496,100.0,850.7462686567164,21.333333333333332,0.44776119402985076,2
8.0,128.0,5500.0,45.0,6.67,1220.0,2712.0,120.0,50.0,20.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,1.0,3.30864,70.0,824.5877061469265,16.0,0.4498525073746313,1
8.0,128.0,5000.0,25.0,6.7,1080.0,2340.0,90.0,50.0,13.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,2.5272,63.0,746.2686567164179,16.0,0.46153846153846156,0
8.0,128.0,5000.0,45.0,6.7,1080.0,2400.0,120.0,50.0,50.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,0.0,2.592,100.0,746.2686567164179,16.0,0.45,1
12.0,512.0,6000.0,150.0,6.84,1260.0,2880.0,165.0,50.0,50.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.6288,100.0,877.1929824561404,42.666666666666664,0.4375,2
8.0,256.0,5500.0,90.0,6.77,1080.0,2392.0,120.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,2.58336,82.0,812.4076809453471,32.0,0.451505016722408,1
4.0,64.0,6000.0,15.0,6.5,720.0,1600.0,90.0,48.0,8.0,2.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,1.152,56.0,923.0769230769231,16.0,0.45,0
6.0,128.0,6000.0,15.0,6.74,720.0,1600.0,90.0,50.0,5.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,15.0,0.0,1.152,55.0,890.2077151335311,21.333333333333332,0.45,0
6.0,128.0,5030.0,33.0,6.79,1080.0,2460.0,120.0,108.0,13.0,2.3,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,2.6568,121.0,740.7952871870398,21.333333333333332,0.43902439024390244,0
8.0,128.0,6200.0,90.0,6.67,1220.0,2712.0,120.0,50.0,20.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,0.0,3.30864,70.0,929.5352323838081,16.0,0.4498525073746313,1
8.0,128.0,5500.0,100.0,6.74,1240.0,2772.0,120.0,50.0,16.0,2.8,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,1.0,3.43728,66.0,816.0237388724036,16.0,0.44733044733044736,1
6.0,128.0,3349.0,45.0,6.1,1179.0,2556.0,120.0,48.0,12.0,3.46,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,17.0,0.0,3.013524,60.0,549.016393442623,21.333333333333332,0.4612676056338028,2
8.0,256.0,6000.0,80.0,6.74,1220.0,2712.0,120.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,1.0,3.30864,82.0,890.2077151335311,32.0,0.4498525073746313,1
8.0,256.0,7000.0,120.0,6.78,1264.0,2780.0,120.0,50.0,32.0,3.4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,0.0,3.51392,82.0,1032.448377581121,32.0,0.4546762589928058,2
12.0,256.0,6000.0,90.0,6.82,1440.0,3168.0,120.0,200.0,50.0,4.32,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,4.56192,250.0,879.7653958944281,21.333333333333332,0.45454545454545453,2
8.0,128.0,6000.0,33.0,6.5,1080.0,2400.0,120.0,50.0,16.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,2.592,66.0,923.0769230769231,16.0,0.45,0
8.0,256.0,5500.0,80.0,6.78,1260.0,2800.0,120.0,50.0,50.0,3.35,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,3.528,100.0,811.2094395280236,32.0,0.45,2
12.0,256.0,6000.0,120.0,6.82,1440.0,3168.0,144.0,50.0,32.0,4.32,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,4.56192,82.0,879.7653958944281,21.333333333333332,0.45454545454545453,2
8.0,128.0,5000.0,33.0,6.77,1080.0,2392.0,120.0,50.0,16.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,2.58336,66.0,738.5524372230428,16.0,0.451505016722408,1
6.0,128.0,5110.0,45.0,6.67,1080.0,2400.0,120.0,50.0,20.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,2.592,70.0,766.1169415292354,21.333333333333332,0.45,0
8.0,128.0,5000.0,66.0,6.8,1080.0,2400.0,144.0,108.0,32.0,2.2,7.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,14.0,0.0,2.592,140.0,735.2941176470589,16.0,0.45,1
8.0,128.0,5000.0,45.0,6.7,1080.0,2340.0,120.0,50.0,12.0,2.9,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,2.5272,62.0,746.2686567164179,16.0,0.46153846153846156,2
8.0,128.0,6500.0,44.0,6.72,1080.0,2408.0,120.0,50.0,8.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,2.60064,58.0,967.2619047619048,16.0,0.4485049833887043,0
16.0,512.0,6000.0,90.0,6.7,1220.0,2712.0,120.0,50.0,50.0,3.35,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,15.0,1.0,3.30864,100.0,895.5223880597015,32.0,0.4498525073746313,2
8.0,256.0,5700.0,100.0,6.8,1260.0,2800.0,144.0,50.0,50.0,3.25,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,0.0,3.528,100.0,838.2352941176471,32.0,0.45,2
8.0,128.0,5500.0,44.0,6.77,1080.0,2392.0,120.0,50.0,16.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,2.58336,66.0,812.4076809453471,16.0,0.451505016722408,1
8.0,256.0,5200.0,80.0,6.7,1080.0,2412.0,120.0,50.0,32.0,2.4,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,0.0,2.60496,82.0,776.1194029850747,32.0,0.44776119402985076,1
8.0,128.0,7300.0,100.0,6.7,1080.0,2400.0,120.0,50.0,32.0,2.5,7.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,1.0,2.592,82.0,1089.55223880597,16.0,0.45,1
12.0,256.0,4600.0,80.0,6.7,1080.0,2412.0,120.0,50.0,32.0,3.1,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.0,1.0,2.60496,82.0,686.5671641791045,21.333333333333332,0.44776119402985076,1
